,features
370,"{
  ""features"": [
    {
      ""categoria"": ""Essential Oil"",
      ""material"": ""Not found"",
      ""handmade"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""Plant Therapy""
    }
  ]
}"
371,"{
  ""features"": [
    {
      ""categoria"": ""Móveis"",
      ""material"": ""Shredded Foam"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Charcoal"",
      ""marca"": ""LUCID""
    }
  ]
}"
372,"{
  ""features"": [
    {
      ""categoria"": ""Dog Collar"",
      ""material"": ""Genuine Leather"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Mighty Paw""
    }
  ]
}"
373,"{
  ""features"": [
    {
      ""categoria"": ""Óculos de Sol"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Unissex-Adulto"",
      ""cor"": ""Prata Cinza"",
      ""marca"": ""Balenciaga""
    }
  ]
}"
374,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Birkenstock""
    }
  ]
}"
375,"{
  ""features"": [
    {
      ""categoria"": ""Baby Leg Warmers"",
      ""material"": ""76% combed cotton, 16% Polyester, 8% Spandex"",
      ""Público-alvo"": ""Bebês (0-3 anos)"",
      ""cor"": ""Brown, light gray, dark gray, pink, white"",
      ""marca"": ""Sept.Filles""
    }
  ]
}"
376,"{
  ""features"": [
    {
      ""categoria"": ""Ground Rod"",
      ""material"": ""Copperbonded"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Erico""
    }
  ]
}"
377,"{
  ""features"": [
    {
      ""categoria"": ""MP3 Player"",
      ""material"": ""Zinc Alloy Chassis"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""HIFI WALKER""
    }
  ]
}"
378,"{
  ""features"": [
    {
      ""categoria"": ""Back Glass Assembly"",
      ""material"": ""Glass"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Midnight Black"",
      ""marca"": ""LUVSS""
    }
  ]
}"
379,"{
  ""features"": [
    {
      ""categoria"": ""Doormat"",
      ""material"": ""High-quality velvet"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Merchize""
    }
  ]
}"
380,"{
  ""features"": [
    {
      ""categoria"": ""Loungewear"",
      ""material"": ""Cotton/Poly blend"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""STAR Labs Laboratories""
    }
  ]
}"
381,"{
  ""features"": [
    {
      ""categoria"": ""Cookie Scoop"",
      ""material"": ""18/8 Stainless Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Fayomir""
    }
  ]
}"
382,"{
  ""features"": [
    {
      ""categoria"": ""Hand Lotion"",
      ""material"": ""Avocado, Jojoba and Rose Hip Oils"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""OUAI""
    }
  ]
}"
383,"{
  ""features"": [
    {
      ""categoria"": ""Baby Sleep Soother"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""3 cores relaxantes disponíveis"",
      ""marca"": ""VTech""
    }
  ]
}"
384,"{
  ""features"": [
    {
      ""categoria"": ""construction tools"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Bon Tool""
    }
  ]
}"
385,"{
  ""features"": [
    {
      ""categoria"": ""Brinquedo sensorial"",
      ""material"": ""Beads"",
      ""Público-alvo"": ""Crianças e adultos"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""KELZ KIDZ""
    }
  ]
}"
386,"{
  ""features"": [
    {
      ""categoria"": ""Vestido"",
      ""material"": ""Denim"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Design by Olivia""
    }
  ]
}"
387,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Cotton Blend"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""itkidboy""
    }
  ]
}"
388,"{
  ""features"": [
    {
      ""categoria"": ""Reading Glasses"",
      ""material"": ""Sustainable materials"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Multiple color options"",
      ""marca"": ""Peepers""
    }
  ]
}"
389,"{
  ""features"": [
    {
      ""categoria"": ""Vestuário feminino"",
      ""material"": ""Cashmere, fleece, down"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Amazon Essentials""
    }
  ]
}"
390,"{
  ""features"": [
    {
      ""categoria"": ""Eau De Toilette"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Usher""
    }
  ]
}"
391,"{
  ""features"": [
    {
      ""categoria"": ""Two Piece Outfits"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
392,"{
  ""features"": [
    {
      ""categoria"": ""Ferramenta de limpeza"",
      ""material"": ""Microfibra"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""MusicNomad""
    }
  ]
}"
393,"{
  ""features"": [
    {
      ""categoria"": ""Coffee Table"",
      ""material"": ""Glass"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black/White/Mirror"",
      ""marca"": ""Sonorous""
    }
  ]
}"
394,"{
  ""features"": [
    {
      ""categoria"": ""Napkins"",
      ""material"": ""Paper"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""FUN NAPS""
    }
  ]
}"
395,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Breitling""
    }
  ]
}"
396,"{
  ""features"": [
    {
      ""categoria"": ""Skincare"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Perricone MD""
    }
  ]
}"
397,"{
  ""features"": [
    {
      ""categoria"": ""Música"",
      ""material"": ""CD"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Marc Minkowski""
    }
  ]
}"
398,"{
  ""features"": [
    {
      ""categoria"": ""Purse Wallet"",
      ""material"": ""Canvas"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Dark blue, Blue flower, Purple, White, Blue"",
      ""marca"": ""LATH.PIN""
    }
  ]
}"
399,"{
  ""features"": [
    {
      ""categoria"": ""Árvore de Natal"",
      ""material"": ""Alumínio"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Prateado"",
      ""marca"": ""Brandi Decor""
    }
  ]
}"
400,"{
  ""features"": [
    {
      ""categoria"": ""Óculos de leitura"",
      ""material"": ""Metal"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""EYE ZOOM""
    }
  ]
}"
401,"{
  ""features"": [
    {
      ""categoria"": ""Brinquedo colecionável"",
      ""material"": ""Vinil"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Multicolor"",
      ""marca"": ""Funko Pop!""
    }
  ]
}"
402,"{
  ""features"": [
    {
      ""categoria"": ""Filme"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Kubrick""
    }
  ]
}"
403,"{
  ""features"": [
    {
      ""categoria"": ""Drawer Glides and Drawer Guides"",
      ""material"": ""Plastic and stainless steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Yellow, white"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
404,"{
  ""features"": [
    {
      ""categoria"": ""UTV"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""UTVGiant""
    }
  ]
}"
405,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
406,"{
  ""features"": [
    {
      ""categoria"": ""Necktie and Pocket Square Sets"",
      ""material"": ""100% Microfiber"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Black, Red, Hunter Green, Raspberry, Mint, Yellow, Peach Puff, Teal, Beige, Aqua, Blush, White, Gold, Plum, Coral, Purple, Sky Blue, Burgundy, Navy, Champagne, Heather Grey, Royal"
407,"{
  ""features"": [
    {
      ""categoria"": ""Pet Beds"",
      ""material"": ""Super Plush"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Dark Blue"",
      ""marca"": ""WONDER MIRACLE""
    }
  ]
}"
408,"{
  ""features"": [
    {
      ""categoria"": ""Meias"",
      ""material"": ""Soft Stretchy Fabric"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Solid color"",
      ""marca"": ""SurBepo""
    }
  ]
}"
409,"{
  ""features"": [
    {
      ""categoria"": ""Pacifier"",
      ""material"": ""100% silicone"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Blue Glow-in-the-Dark"",
      ""marca"": ""Dr. Brown's""
    }
  ]
}"
410,"{
  ""features"": [
    {
      ""categoria"": ""Deck Case"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Malachite"",
      ""marca"": ""Ultimate Guard""
    }
  ]
}"
411,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de videogame"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""VSEER""
    }
  ]
}"
412,"{
  ""features"": [
    {
      ""categoria"": ""Board Shorts"",
      ""material"": ""lightweight, quick-drying fabric"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Hurley""
    }
  ]
}"
413,"{
  ""features"": [
    {
      ""categoria"": ""Wall Clock"",
      ""material"": ""Metal"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black, Golden"",
      ""marca"": ""Univer-Co""
    }
  ]
}"
414,"{
  ""features"": [
    {
      ""categoria"": ""alimentos"",
      ""material"": ""amêndoas"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Blue Diamond""
    }
  ]
}"
415,"{
  ""features"": [
    {
      ""categoria"": ""organizador de gavetas"",
      ""material"": ""tecido"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""cinza claro"",
      ""marca"": ""Qozary""
    }
  ]
}"
416,"{
  ""features"": [
    {
      ""categoria"": ""Hooded Sweatshirt"",
      ""material"": ""French Terry"",
      ""Público-alvo"": ""Men's"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Amazon Essentials""
    }
  ]
}"
417,"{
  ""features"": [
    {
      ""categoria"": ""Gaming Headset"",
      ""material"": ""Neodymium driver, knitted audio cable"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""White and Blue"",
      ""marca"": ""SADES""
    }
  ]
}"
418,"{
  ""features"": [
    {
      ""categoria"": ""iPhone Case"",
      ""material"": ""Silicone"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Midnight Green"",
      ""marca"": ""DTTO""
    }
  ]
}"
419,"{
  ""features"": [
    {
      ""categoria"": ""Acessórios"",
      ""material"": ""Couro"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
420,"{
  ""features"": [
    {
      ""categoria"": ""decoração"",
      ""material"": ""vinil"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""preto"",
      ""marca"": ""Oracal 631""
    }
  ]
}"
421,"{
  ""features"": [
    {
      ""categoria"": ""Sweatshirt"",
      ""material"": ""High quality material"",
      ""Público-alvo"": ""adulto"",
      ""cor"": ""Tiger Print"",
      ""marca"": ""RXRXCOCO""
    }
  ]
}"
422,"{
  ""features"": [
    {
      ""categoria"": ""Móveis"",
      ""material"": ""Smartmax"",
      ""Público-alvo"": ""infantil, adulto"",
      ""cor"": ""Spicy Lime"",
      ""marca"": ""Big Joe""
    }
  ]
}"
423,"{
  ""features"": [
    {
      ""categoria"": ""Laser Gaming Set"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Laser X""
    }
  ]
}"
424,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
425,"{
  ""features"": [
    {
      ""categoria"": ""Brinquedo"",
      ""material"": ""Rubberwood, Plywood"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Bright warm colors"",
      ""marca"": ""Tender Leaf Toys""
    }
  ]
}"
426,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Teva""
    }
  ]
}"
427,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de decoração"",
      ""material"": ""Madeira"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Branco"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
428,"{
  ""features"": [
    {
      ""categoria"": ""Foraging tool"",
      ""material"": ""100% Cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
429,"{
  ""features"": [
    {
      ""categoria"": ""iluminação"",
      ""material"": ""cristal"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""transparente"",
      ""marca"": ""DST Modern""
    }
  ]
}"
430,"{
  ""features"": [
    {
      ""categoria"": ""Kitchen Utensil"",
      ""material"": ""18/0 stainless steel"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Metallic"",
      ""marca"": ""Fox Run""
    }
  ]
}"
431,"{
  ""features"": [
    {
      ""categoria"": ""Action Figure"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Good Smile""
    }
  ]
}"
432,"{
  ""features"": [
    {
      ""categoria"": ""Equipamento de exercício"",
      ""material"": ""Neoprene"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""FILA""
    }
  ]
}"
433,"{
  ""features"": [
    {
      ""categoria"": ""Decoração de eventos"",
      ""material"": ""Artificial"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Verde"",
      ""marca"": ""Efavormart""
    }
  ]
}"
434,"{
  ""features"": [
    {
      ""categoria"": ""Stuffed Animals"",
      ""material"": ""Plush"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Marrom"",
      ""marca"": ""Houwsbaby""
    }
  ]
}"
435,"{
  ""features"": [
    {
      ""categoria"": ""Maquiagem"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Unissex (men and women)"",
      ""cor"": ""Ivory White"",
      ""marca"": ""CCPT""
    }
  ]
}"
436,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de moda"",
      ""material"": ""Elastano"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
437,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de cabelo"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Mulheres ativas, meninas adolescentes e cabelos grossos"",
      ""cor"": ""Crystal Clear"",
      ""marca"": ""invisibobble""
    }
  ]
}"
438,"{
  ""features"": [
    {
      ""categoria"": ""Binóculos"",
      ""material"": ""FL lenses with ZEISS T* multi-layer coating"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""ZEISS""
    }
  ]
}"
439,"{
  ""features"": [
    {
      ""categoria"": ""Chá"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Good Earth Teas""
    }
  ]
}"
440,"{
  ""features"": [
    {
      ""categoria"": ""Fantasia"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Rubie's""
    }
  ]
}"
441,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Dockers""
    }
  ]
}"
442,"{
  ""features"": [
    {
      ""categoria"": ""calçado"",
      ""material"": ""glitter"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""rainbow, red, white"",
      ""marca"": ""Vans""
    }
  ]
}"
443,"{
  ""features"": [
    {
      ""categoria"": ""Pet Feeding Mat"",
      ""material"": ""Silicone"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Neutral"",
      ""marca"": ""Avisiony""
    }
  ]
}"
444,"{
  ""features"": [
    {
      ""categoria"": ""A Space Opera"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""The Shadow Order""
    }
  ]
}"
